,,,D1,D1,D1,D2,D2,D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ALU,ALU,ALU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Not Carry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11** 0101,PUSH R,,,,,,,,1,1,,,1,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,
1110 0010,"LD (C), A",,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
1111 0010,"LD A, C",,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
1110 0000,"LD FF00+$N, A",,,,,,,,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,
1111 0000,"LD A, FF00+$N",,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,
1110 1010,"LD (N), A",,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,
1111 1010,"LD A, (N)",,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,
1110 1000,"ADD SP, N",,,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,
1100 1001,RET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
110* *000,RET F,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,
1101 1001,RETI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
110* *100,"CALL F, N",,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,
1100 1101,CALL N,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1111 0011,DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1111 1011,EI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
"1111 1001: ("""", ""LD SP, HL"", []),","LD SP, HL",,,,1,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111 1000,"LD HL, SP+$N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11** *111,RST nthing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
1100 1011,CB safsd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
